"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"My Cart","0"
"My Cart (%s item)","%s"
"My Cart (%s items)","%s"
"Color","Boja"
"Price","Cijena"
"Blue","Plava"
"Black","Crna"
"White","Bijela"
"This is a required field.","&times;"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","&times;"
"Please make sure your passwords match.","&times;"
"Please enter a valid email address. For example johndoe@domain.com.","&times;"
"Please select an option.","&times;"
"Search entire store here...","Što tražite?"
"My Account","Moj profil"
"Help","Pomoć"
"New","Novo"
"Discounted","Sniženo"
"Out of stock","Rasprodano"
"Sort By","Poredaj prema"
"Type","Vrsta"
"Size","Veličina"
"Home","Početna stranica"
